Content_Song,Sequential Airtime,Song Title,Artist Name,Album Name,Label Name,Release Year,Language
"Oru Poovine Nishaashalabham
,K.J.Yesudas,Meenathil Thalikettu,
Sony Music,2003",00:00:00-00:00:28,Oru Poovine Nishaashalabham,K.J.Yesudas,Meenathil Thalikettu,Sony Music,2003,Malayalam
"Ponveyilin,Ranjith Meleppat, Vijay Yesudas
 & Ann Amie,Puzhikkadan,Satyam Audios,2019",00:02:18-00:05:33,Ponveyilin,"Ranjith Meleppat, Vijay Yesudas
 & Ann Amie",Puzhikkadan,Satyam Audios,2019,Malayalam
"Nagumo,Deva,S.P.Bala&Chitra,
Arunachalam,Alai Osal Productions Sdn Bhd,
1997",00:05:37-00:09:29,Nagumo,"Deva, S.P.Bala&Chitra",Arunachalam,Alai Osal Productions Sdn Bhd,1997,Malayalam
"Allah Avalente Pennakane,Vineeth Sreenivasan, 
Sumesh Parameswar & Arjun V. Akshaya,
Ennodu Para I Love You Ennu,2019",00:09:33-00:13:48,Allah Avalente Pennakane,Vineeth Sreenivasan,Sumesh Parameswar & Arjun V. Akshaya,Ennodu Para I Love You Ennu,2019,Malayalam
"Tere Bina ,A.R. Rahman, Chinmayi Sripada,
 Murtuza Khan & Qadir Khan,Guru,Sony Music Entertainments
 Pvt.Ltd,2006",00:13:51-00:18:34,Tere Bina,"A.R. Rahman, Chinmayi Sripada, Murtuza Khan & Qadir Khan",Guru,"Sony Music Entertainments
 Pvt.Ltd",2006,Hindi
"Oruthi,Bheemante Vazhi,Vishnu Vijay,OPM Records,2021",00:19:19-00:23:30,Oruthi,Bheemante Vazhi,Vishnu Vijay,OPM Records,2021,Malayalam
"Nee Kaatru Naan Maram,Vidyasagar, Vairamuthu, K.S. 
Chithra & Hariharan,Nilaave Vaa,Divo Tv Private Limited,1996",00:23:32-00:28:04,Nee Kaatru Naan Maram,"Vidyasagar, Vairamuthu, K.S. 
Chithra & Hariharan",Nilaave Vaa,Divo TV Pvt Ltd,1996,Malayalam
"Orukunju,Vidyasagar,K.J.Yesudas,Chandranudhikkunna Dikkil,
Divo Tv Private Limited,1999",00:28:07-00:31:23,Orukunju,"Vidyasagar, K.J.Yesudas",Chandranudhikkunna Dikkil,Divo TV Pvt Ltd,1999,Malayalam
"Bolna,Tanishk Bagchi, Arijit Singh & Asees Kaur,Tanishk Bgchi,
Sony Music Entertainment India Pvt.Ltd,2016",00:31:26-00:34:34,Bolna,"Tanishk Bagchi, Arijit Singh & Asees Kaur",Kapoor & Sons,Sony Music Entertainment India Pvt.Ltd,2016,Hindi
"Manjupeyume,Najim Arshad&Mridula Warrier,Mili,
Think Music,2015",00:34:36-00:37:58,Manjupeyume,Najim Arshad&Mridula Warrier,Mili,Think Music,2015,Malayalam
"Unna Vida,Kamal Haasan, Shreya Ghoshal & Ilaiyaraaja,
Virumandi,Anak Audio,2004",00:38:01-00:43:45,Unna Vida,"Kamal Haasan, Shreya Ghoshal & Ilaiyaraaja",Virumandi,Anak Audio,2004,Malayalam
"Nee Mukilo,Vijay Yesudas, Sithara Krishnakumar, 
Gopi Sundar & Rafeeq Ahammed,Uyare,Manorama Music,2019",00:44:34-00:47:43,Nee Mukilo,"Vijay Yesudas, Sithara Krishnakumar, Gopi Sundar & Rafeeq Ahammed",Uyare,Manorama Music,2019,Malayalam
"Aisa lagta Hai,Sonu Nigam&Alka yagnik,Refugee,
saregama,2000",00:47:46-00:54:02,Aisa lagta Hai,Sonu Nigam&Alka yagnik,Refugee,saregama,2000,Hindi
"Nilapakshi,Sushin Shyam, Neha S. Nair & 
Vinayak Sasikumar,Maradoan,Divo Tv Private Limited,2018",00:54:05-00:57:04,Nilapakshi,"Sushin Shyam, Neha S. Nair & 
Vinayak Sasikumar",Maradoan,Divo TV Pvt Ltd,2018,Malayalam
"Sandalee,Velmurugan&Mahalingam,Adiyae Azhagae,
Think Music,2017",00:57:07-01:02:00,Sandalee,Velmurugan&Mahalingam,Adiyae Azhagae,Think Music,2017,Malayalam
"Bum Bum Bum,Naresh Iyer,Iblis,Trend Music,2018",01:03:04-01:06:18,Bum Bum Bum,Naresh Iyer,Iblis,Trend Music,2018,Malayalam
"Morni Banke,Guru Randhawa & Neha Kakkar,
Badhaai Ho,T-Series,2018",01:06:21-01:09:21,Morni Banke,Guru Randhawa & Neha Kakkar,Badhaai Ho,T-Series,2018,Hindi
"Mazha Njaan,bennet-Veetraag&Hariharan,Dr.Patient,
Satyam Audios,
2009",01:09:24-01:12:10,Mazha Njaan,bennet-Veetraag&Hariharan,Dr.Patient,Satyam Audios,2009,Malayalam
"Parayuvaan,Sid Sriram, Neha S. Nair & Jakes Bejoy,
Ishq,E4 Enertainemnt,2019",01:12:15-01:15:15,Parayuvaan,"Sid Sriram, Neha S. Nair & Jakes Bejoy",Ishq,E4 Entertainment,2019,Malayalam
"Vijana Surabhi,Rahul Raj, Remya Nambeesan, 
Kalamandalam Kolathapally & K.M. Udayan,
Bachelor Party,Satyam Audios,2012",01:15:18-01:18:07,Vijana Surabhi,"Rahul Raj, Remya Nambeesan, Kalamandalam Kolathapally & K.M. Udayan",Bachelor Party,Satyam Audios,2012,Malayalam
"Kili Poyi ,Rahul Raj & Vinay Govind,Kili Poyi,
It's Rocking,Muzik247,2015",01:18:11-01:21:00,Kili Poyi,"Rahul Raj & Vinay Govind, Kili Poyi",It's Rocking,Muzik247,2015,Malayalam
"Marudhaani,D. Imman, Nakash Aziz, Anthony Daasan & 
Vandana Srinivasan,
Annaattthe,Sun Pictures,2021",01:21:03-01:23:25,Marudhaani,"D. Imman, Nakash Aziz, Anthony Daasan & 
Vandana Srinivasan",Annaattthe,Sun Pictures,2021,Malayalam
"Vaaleduthal,Vidyasagar, Vidhu Prathap & Anuradha,
Meesamadhavan,Sony Music Entertainment India Pvt.Ltd,2002",01:23:29-01:26:21,Vaaleduthal,"Vidyasagar, Vidhu Prathap & Anuradha",Meesamadhavan,Sony Music Entertainment India Pvt.Ltd,2002,Malayalam
"Pularoli,Vijay Yesudas,Bhaskar The Rascal,
Manorama
Music,2015",01:26:24-01:29:26,Pularoli,Vijay Yesudas,Bhaskar The Rascal,"Manorama
Music",2015,Malayalam
"Chaka Chak,Shreya Ghoshal,Atrangi Re,T-Series,2021",01:29:29-01:32:33,Chaka Chak,Shreya Ghoshal,Atrangi Re,T-Series,2021,Hindi
"Minnunadae Mullapolae,Karthik,Tharangam,
Divo Tv Private Limited,2017",01:32:36-01:35:25,Minnunadae Mullapolae,Karthik,Tharangam,Divo TV Pvt Ltd,2017,Malayalam
"Varmukile Marivillin,Raveendran & K.S. Chithra,
Mazha,East Cost Audio Entertainments,1999",01:35:28-01:38:15,Varmukile Marivillin,Raveendran & K.S. Chithra,Mazha,East Coast Audio Entertainments,1999,Malayalam
"Oh Oh,Anirudh Ravichander, Dhanush & Nikhita Gandhi,
Thangamagan,Sony Music Entertainment India Pvt.Ltd,2015",01:38:19-01:41:12,Oh Oh,"Anirudh Ravichander, Dhanush & Nikhita Gandhi",Thangamagan,Sony Music Entertainment India Pvt.Ltd,2015,Malayalam
"Kattu Mooliyo , Vineeth Sreenivasan & Shaan Rahman,
Ohm Shanthi Oshaana,Think Music,2014",01:41:15-01:44:26,Kattu Mooliyo,Vineeth Sreenivasan & Shaan Rahman,Ohm Shanthi Oshaana,Think Music,2014,Malayalam
"Lakeeran,Asees Kaur, Devenderpal Singh & Amit Trivedi,
Haseen Dillruba,T-Series,2021",01:44:29-01:47:30,Lakeeran,"Asees Kaur, Devenderpal Singh & Amit Trivedi",Haseen Dillruba,T-Series,2021,Hindi
"Maangalyam,Vijay Yesudas, Sachin Warrier & S. Menon,
Bangalore Days,Muzik247,2014",01:47:35-01:50:44,Maangalyam,"Vijay Yesudas, Sachin Warrier & S. Menon",Bangalore Days,Muzik247,2014,Malayalam
"Thaa Thinnam,Job Kurien & Kailas Menon,
Theevand,Goodwill Entertainments,2018",01:50:47-01:53:51,Thaa Thinnam,Job Kurien & Kailas Menon,Theevand,Goodwill Entertainments,2018,Malayalam
"Onnaanaam Kunninmele,Vidyasagar, M. G. Sreekumar & 
Sujatha,Kilichundan Mambazham,Johny Sagariga,2003",01:53:54-01:56:54,Onnaanaam Kunninmele,"Vidyasagar, M. G. Sreekumar & 
Sujatha",Kilichundan Mambazham,Johny Sagariga,2003,Malayalam
"Innaleyum,Arun Alat,Kavi Uddheshichathu,Muzik247,2016",01:56:57-01:59:46,Innaleyum,Arun Alat,Kavi Uddheshichathu,Muzik247,2016,Malayalam
"Konji Konji Chirichal,Shankar Mahadevan & Rimi Tomy,
Avatharam,East Cost Audio Entertainments,1998",02:00:48-02:03:40,Konji Konji Chirichal,Shankar Mahadevan & Rimi Tomy,Avatharam,East Coast Audio Entertainments,1998,Malayalam
"Enthinee Mizhi,Vidyasagar, Karthik & Shreya Ghoshal,
Ordinary,Satyam Audios,2012",02:03:43-02:06:24,Enthinee Mizhi,"Vidyasagar, Karthik & Shreya Ghoshal",Ordinary,Satyam Audios,2012,Malayalam
"Nenjinullilaake,Deepankuran, Vineeth Sreenivasan & Radhika 
Narayanan,Thattumpurathu Achuthan,Satyam Audios,2018",02:06:27-02:09:31,Nenjinullilaake,"Deepankuran, Vineeth Sreenivasan & Radhika 
Narayanan",Thattumpurathu Achuthan,Satyam Audios,2018,Malayalam
"Mandhaara Poo Mooli,Ilaiyaraaja, Madhu Balakrishnan &
 Swetha Mohan,Vinodha Yathra,Satyam Audios,2007",02:09:34-02:12:26,Mandhaara Poo Mooli,"Ilaiyaraaja, Madhu Balakrishnan &
 Swetha Mohan",Vinodha Yathra,Satyam Audios,2007,Malayalam
"Enne Thallendammaava,Vineeth Sreenivasan &
 Shaan Rahman,Oru Vadakkan Selfie,Shaan Rahman Hits,Muzik247,
2015",02:12:30-02:14:46,Enne Thallendammaava,"Vineeth Sreenivasan &
 Shaan Rahman, Oru Vadakkan Selfie",Shaan Rahman Hits,Muzik247,2015,Malayalam
"Thenmozhi,Santhosh Narayanan & Anirudh Ravichander,
Thiruchitrambalam,Thiruchitrambalam,Sun Pictures,2022",02:14:49-02:17:37,Thenmozhi,"Santhosh Narayanan & Anirudh Ravichander, Thiruchitrambalam",Thiruchitrambalam,Sun Pictures,2022,Malayalam
"Chembakapoo,Sudeep Kumar & Murugan Kattakkada,
Rathinirvedam,Manorama Music,2011",02:17:39-02:20:56,Chembakapoo,Sudeep Kumar & Murugan Kattakkada,Rathinirvedam,Manorama Music,2011,Malayalam
"Poonkattey,Balram,Jomonte Suvisheshangal,Muzik247,2016",02:20:59-02:23:24,Poonkattey,Balram,Jomonte Suvisheshangal,Muzik247,2016,Malayalam
"London Thumakda,Labh Janjua, Sonu Kakkar, Neha Kakkar &
 Amit Trivedi,Queen,T-Series,2014",02:23:27-02:26:34,London Thumakda,"Labh Janjua, Sonu Kakkar, Neha Kakkar &
 Amit Trivedi",Queen,T-Series,2014,Hindi
"Roshomon,Ashwin Gopakumar, Arun Kamath & Niranj Suresh,
Solo,Trend Music,2017",02:26:37-02:29:17,Roshomon,"Ashwin Gopakumar, Arun Kamath & Niranj Suresh",Solo,Trend Music,2017,Malayalam
"Alliyambal-Remix,Vijay Yesudas,Loudspeaker,Manorama Music,
2009",02:29:19-02:31:18,Alliyambal-Remix,Vijay Yesudas,Loudspeaker,Manorama Music,2009,Malayalam
"Guleba,Anirudh Ravichander & Mervin Solomon,
Gulaebaghavali,Think Music,2017",02:31:21-02:34:25,Guleba,Anirudh Ravichander & Mervin Solomon,Gulaebaghavali,Think Music,2017,Malayalam
"Pacha Panamthathe,M. Jayachandran & K. J. Yesudas,Nottam,
Satyam Audios,2005",02:34:27-02:36:55,Pacha Panamthathe,M. Jayachandran & K. J. Yesudas,Nottam,Satyam Audios,2005,Malayalam
"Slow Motion,Shreya Ghoshal&Nakash Aziz,BharatT-Series,2019",02:37:00-02:40:04,Slow Motion,Shreya Ghoshal&Nakash Aziz,Bharat,T-Series,2019,Malayalam
"Iniyum Nin Mounam,Stephen Devassy &
 Sooraj Santhosh,
K Q,Satyam Audios,2013",02:40:07-02:43:05,Iniyum Nin Mounam,"Stephen Devassy &
 Sooraj Santhosh",K Q,Satyam Audios,2013,Malayalam
"Paranne,Jyotsna And The J Notes,Plug N Play Foundation,2019",02:43:08-02:45:34,Paranne,Jyotsna And The J Notes,,Plug N Play Foundation,2019,Malayalam
"Arikathayaaro,Ousephachan & Ranjith Govind,Bodyguard,
Johny Sagariga,2009",02:45:38-02:48:22,Arikathayaaro,Ousephachan & Ranjith Govind,Bodyguard,Johny Sagariga,2009,Malayalam
"Neerpalunkukal,Rex Vijayan&Saju Sreenivas,Neelakasham 
Pachakkadal Chuvanna Bhoomi,E4 Entertainments,2014",02:48:25-02:51:33,Neerpalunkukal,Rex Vijayan&Saju Sreenivas,"Neelakasham 
Pachakkadal Chuvanna Bhoomi",E4 Entertainment,2014,Malayalam
"Chithramanikattil,Kaithapram, Deepak Dev, P. Jayachandran & K.S.
 Chithra,Symphony,Speed Audios,2023",02:51:36-02:54:33,Chithramanikattil,"Kaithapram, Deepak Dev, P. Jayachandran & K.S.
 Chithra",Symphony,Speed Audios,2023,Malayalam
"Aadalodakam,Vaisakh Sugunan, Dawn Vincent, Shahabaz Aman &
 Soumya Ramakrishnan,Nna Thaan Case Kodu,Cloud 9 Entertainments 
FZ-LLC,2022",02:54:36-02:57:02,Aadalodakam,"Vaisakh Sugunan, Dawn Vincent, Shahabaz Aman &
 Soumya Ramakrishnan",Nna Thaan Case Kodu,"Cloud 9 Entertainments 
FZ-LLC",2022,Malayalam
"Puthumazhayai,Shreya Ghoshal,Charlie,Muzik247,2015",02:57:06-03:00:06,Puthumazhayai,Shreya Ghoshal,Charlie,Muzik247,2015,Malayalam
"Thanaro,Sreenath Bhasi & Rex Vijayan,North 24 Kaatham,
E4 Entertainment,2023",03:01:11-03:04:07,Thanaro,Sreenath Bhasi & Rex Vijayan,North 24 Kaatham,E4 Entertainment,2023,Malayalam
"Paranne,Benny Dayal & Raghu Dixit,Koode,Muzik247,2018",03:04:10-03:06:53,Paranne,Benny Dayal & Raghu Dixit,Koode,Muzik247,2018,Malayalam
"Araranne Aaranne,Job Kurian&Rita,Urumi&Fresh Hits,
Manorama Music,2011",03:06:56-03:10:00,Araranne Aaranne,Job Kurian&Rita,Urumi&Fresh Hits,Manorama Music,2011,Malayalam
"Maayaathe,Gopi Sundar, Haricharan & Chinmayi Sripada,
Hero,satyam Audios,2012",03:10:02-03:12:45,Maayaathe,"Gopi Sundar, Haricharan & Chinmayi Sripada",Hero,satyam Audios,2012,Malayalam
"Allegro,Devi Sri Prasad & Rita,Kanthaswamy,
Sony Music Entertainment India Pvt.Ltd,2009",03:12:50-03:15:53,Allegro,Devi Sri Prasad & Rita,Kanthaswamy,Sony Music Entertainment India Pvt.Ltd,2009,Malayalam
"Etho Saayaana, Gopi Sundar & Sachin Warrier,
10:30 A.M.Local Call,Satyam Audios,2012",03:15:56-03:18:57,Etho Saayaana,Gopi Sundar & Sachin Warrier,10:30 A.M.Local Call,Satyam Audios,2012,Malayalam
"Aa Oruthi,Vidyasagar, Vineeth Sreenivasan & Manjari,
Anarkali,Satyam Audios,2015",03:19:00-03:21:47,Aa Oruthi,"Vidyasagar, Vineeth Sreenivasan & Manjari",Anarkali,Satyam Audios,2015,Malayalam
"Udd Jaa Parindey,Jubin Nautiyal,Radhe Shyam,
T-Series,2021",03:21:50-03:23:50,Udd Jaa Parindey,Jubin Nautiyal,Radhe Shyam,T-Series,2021,Hindi
"Prema Neyyappam,Justin Varghese & Anwar Ali,
Oru Thekkan Thallu Case,E4 Entertainments,2022",03:23:53-03:26:50,Prema Neyyappam,Justin Varghese & Anwar Ali,Oru Thekkan Thallu Case,E4 Entertainment,2022,Malayalam
"Karale Nin Kai,K. J. Yesudas, P. V. Preetha & Kaithapram,
Devadoothan,Wilson Audio,2000",03:26:54-03:29:52,Karale Nin Kai,"K. J. Yesudas, P. V. Preetha & Kaithapram",Devadoothan,Wilson Audio,2000,Malayalam
"Yavvana,Yazin Nizar & Kalyani Nair,Sathya,Neeyum Naanum,
Think Music,2017",03:29:55-03:33:02,Yavvana,"Yazin Nizar & Kalyani Nair, Sathya",Neeyum Naanum,Think Music,2017,Malayalam
"Ya Ya Ya Yadava,M.M. Keeravani, K.S. Chithra & P. Unnikrishnan,
Devaragam,Johny Sagariga,1996",03:33:05-03:35:27,Ya Ya Ya Yadava,"M.M. Keeravani, K.S. Chithra & P. Unnikrishnan",Devaragam,Johny Sagariga,1996,Malayalam
"Aankh Marey,Neha Kakkar, Mika Singh & Kumar Sanu,
Simmba,T-Series,2018",03:35:31-03:38:06,Aankh Marey,"Neha Kakkar, Mika Singh & Kumar Sanu",Simmba,T-Series,2018,Hindi
"Paattonnu Paadan, Deepak Dev, Ranjith Govind, Benny Dayal, 
Smitha & Arjun,Kilukkam Kilukilukkam,Satyam Audios,2006",03:38:10-03:40:53,Paattonnu Paadan,"Deepak Dev, Ranjith Govind, Benny Dayal, Smitha & Arjun",Kilukkam Kilukilukkam,Satyam Audios,2006,Malayalam
"Naadottukku,Job Kurian & Prarthana Indrajith,
Kuttanpillayude Sivarathri,Muzik247,2018",03:40:56-03:44:07,Naadottukku,Job Kurian & Prarthana Indrajith,Kuttanpillayude Sivarathri,Muzik247,2018,Malayalam
"Swapnangal Kannezhuthiya,K.S.Chithra&Rahul Nambiar,
Swara Madhuri,Manorama Music,2005",03:44:09-03:47:20,Swapnangal Kannezhuthiya,K.S.Chithra&Rahul Nambiar,Swara Madhuri,Manorama Music,2005,Malayalam
"Minnaminnikkum Kaalam Vannala Neelakashathe,
Shankar Mahadevan,Kattappanayile Hrithik Roshan,
Millennium Audios,2016",03:47:23-03:49:21,Minnaminnikkum Kaalam Vannala Neelakashathe,Shankar Mahadevan,Kattappanayile Hrithik Roshan,Millennium Audios,2016,Malayalam
"Neeyoru Puzhayayi,P. Jayachandran,Thilakkam,
Eat Cost Audio Entrtainments,1999",03:49:24-03:52:25,Neeyoru Puzhayayi,P. Jayachandran,Thilakkam,East Coast Audio Entertainments,1999,Malayalam
"Paalvarnna Kuthiramel, Jakes Bejoy, Libin Scaria, 
Midhun Suresh, Swetha Ashok & Santhosh Varma,
Kaduva,Magic Frames Music,2022",03:52:29-03:55:30,Paalvarnna Kuthiramel,"Jakes Bejoy, Libin Scaria, Midhun Suresh, Swetha Ashok & Santhosh Varma",Kaduva,Magic Frames Music,2022,Malayalam
"Aatmavin,Kavita Mohan, Sankar Sharma & Preeti Pillai,
Amen,Muzik247,2014",03:55:33-03:58:40,Aatmavin,"Kavita Mohan, Sankar Sharma & Preeti Pillai",Amen,Muzik247,2014,Malayalam
"Ollulleru,Justin Varghese, Praseetha Chalakudy & 
Mavila Community,Ajagajantharam,Cloud 9 Entertainments FZ-LLC,
2021",03:58:44-04:01:41,Ollulleru,"Justin Varghese, Praseetha Chalakudy & 
Mavila Community",Ajagajantharam,Cloud 9 Entertainments FZ-LLC,2021,Malayalam
"Kannondu Chollanu,M. Jayachandran, Shreya Ghoshal & 
Vijay Yesudas,Ennu Ninte Moideen,Satyam Audios,2015",04:02:49-04:05:25,Kannondu Chollanu,"M. Jayachandran, Shreya Ghoshal & 
Vijay Yesudas",Ennu Ninte Moideen,Satyam Audios,2015,Malayalam
"Oru Nooraashakal,Jassie Gift, Kaithapram, K.S. Chithra 
& Sreenivas,Ennittum,Thomsun Music,2023",04:05:28-04:08:11,Oru Nooraashakal,"Jassie Gift, Kaithapram, K.S. Chithra 
& Sreenivas",Ennittum,Thomsun Music,2023,Malayalam
"Pon Thaarame,Shaan Rahman & Vineeth Sreenivasan,
Helen,Muzik247,2019",04:08:15-04:11:10,Pon Thaarame,Shaan Rahman & Vineeth Sreenivasan,Helen,Muzik247,2019,Malayalam
"Kinaavile,Ousephachan&Gayatri Asokan,
Pranchiyettan And The saint,
Satyam Audios,2010",04:11:13-04:14:23,Kinaavile,Ousephachan&Gayatri Asokan,Pranchiyettan And The saint,Satyam Audios,2010,Malayalam
"Ithu Puthan Kaalam,Shabareesh Varma & Rajesh Murugesan,
Premam,Muzik247,2015",04:14:28-04:17:24,Ithu Puthan Kaalam,Shabareesh Varma & Rajesh Murugesan,Premam,Muzik247,2015,Malayalam
"En Jeevan,Hariharan, Saindhavi, Vaikom Vijayalakshmi & 
Na. Muthu Kumar,Theri,Think Music,2016",04:17:28-04:20:32,En Jeevan,"Hariharan, Saindhavi, Vaikom Vijayalakshmi & 
Na. Muthu Kumar",Theri,Think Music,2016,Malayalam
"Priyanumaathram Njaan,M. Jayachandran, Vijay Yesudas &
 Swetha Mohan,Robinhood,Satyam Audios,2008",04:20:35-04:23:20,Priyanumaathram Njaan,"M. Jayachandran, Vijay Yesudas &
 Swetha Mohan",Robinhood,Satyam Audios,2008,Malayalam
"Vijanathayil,Shreya Ghoshal,
How Old Are You,Muzik247,2014",04:23:24-04:26:01,Vijanathayil,Shreya Ghoshal,How Old Are You,Muzik247,2014,Malayalam
"Dholida,Udit Narayan, Neha Kakkar, Palak Muchhal & 
Raja Hassan,Loveyatri - A Journey of Love,T-Series,2018",04:26:05-04:28:45,Dholida,"Udit Narayan, Neha Kakkar, Palak Muchhal & 
Raja Hassan",Loveyatri - A Journey of Love,T-Series,2018,Hindi
"Kando Kando,Amit Trivedi & Gowry Lekshmi,
Big Brother,Millennium Audios,2019",04:28:49-04:31:28,Kando Kando,Amit Trivedi & Gowry Lekshmi,Big Brother,Millennium Audios,2019,Hindi
"Marannittumenthino,Vidyasagar, P. Jayachandran & 
Sujatha,Randam Bhavam,Sony Music,2002",04:31:32-04:34:32,Marannittumenthino,"Vidyasagar, P. Jayachandran & 
Sujatha",Randam Bhavam,Sony Music,2002,Malayalam
"Aagasam,G.V. Prakash Kumar, Christin Jos & Govind Vasantha,
Soorarai Pottru,Sony Music Entertainment Indfia Pvt.Ltd,2020",04:34:36-04:37:13,Aagasam,"G.V. Prakash Kumar, Christin Jos & Govind Vasantha",Soorarai Pottru,Sony Music Entertainment Indfia Pvt.Ltd,2020,Malayalam
"Dwaadashiyil Mani Deepika,Vidyasagar, K. J. Yesudas & Sujatha,
Madhuranombarakkaattu,Johny sagariga,2000",04:37:17-04:40:05,Dwaadashiyil Mani Deepika,"Vidyasagar, K. J. Yesudas & Sujatha",Madhuranombarakkaattu,Johny Sagariga,2000,Malayalam
"Lut Gaye,Jubin Nautiyal,Lut Gaye,T-Series,2021",04:40:09-04:42:36,Lut Gaye,Jubin Nautiyal,Lut Gaye,T-Series,2021,Hindi
"Manickyachirakulla,Job Kurien,dukki Gold,
Muzik247,2014",04:42:39-04:45:13,Manickyachirakulla,Job Kurien,dukki Gold,Muzik247,2014,Malayalam
"Enthe Mulle,Anand Madhusoodanan & Mithun Jayaraj,Kamala,
Dreams N Beyond,2019",04:45:16-04:48:07,Enthe Mulle,Anand Madhusoodanan & Mithun Jayaraj,Kamala,Dreams N Beyond,2019,Malayalam
"Aaro Padum,Hariharan&K.S.Chithra,Urumi&Fresh Hits,
Manorama Music,1996",04:48:10-04:51:11,Aaro Padum,Hariharan&K.S.Chithra,Urumi&Fresh Hits,Manorama Music,1996,Malayalam
"Oru Mezhuthiriyude ,Shahabaz Aman & Mridula,
Vidhudhan,Millennuim Audios,2013",04:51:15-04:54:09,Oru Mezhuthiriyude,Shahabaz Aman & Mridula,Vidhudhan,Millennuim Audios,2013,Malayalam
